"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"Abr 2007","3.161,22","2.929,00","3.172,30","2.928,14","-","7,93%"
"Mar 2007","2.929,00","2.811,62","2.981,27","2.759,48","-","4,17%"
"Feb 2007","2.811,62","2.895,28","3.122,19","2.720,76","-","-2,89%"
"Ene 2007","2.895,28","2.693,22","2.900,31","2.681,78","-","7,50%"
"Dic 2006","2.693,22","2.559,67","2.721,42","2.553,99","-","5,22%"
"Nov 2006","2.559,67","2.380,26","2.564,04","2.341,81","-","7,54%"
"Oct 2006","2.380,26","2.280,48","2.398,67","2.263,85","-","4,38%"
"Sep 2006","2.280,48","2.206,37","2.290,94","2.183,92","-","3,36%"
"Ago 2006","2.206,37","2.131,58","2.209,45","2.107,87","-","3,51%"
"Jul 2006","2.131,58","2.126,02","2.148,81","2.039,58","-","0,26%"
"Jun 2006","2.126,02","2.156,53","2.175,12","1.954,04","-","-1,41%"
"May 2006","2.156,53","2.201,56","2.252,84","2.112,03","-","-2,05%"
"Abr 2006","2.201,56","2.181,95","2.229,20","2.125,35","-","0,90%"
"Mar 2006","2.181,95","2.166,84","2.193,91","2.106,06","-","0,70%"
"Feb 2006","2.166,84","2.118,46","2.178,38","2.098,03","-","2,28%"
"Ene 2006","2.118,46","1.964,47","2.132,39","1.938,19","-","7,84%"
"Dic 2005","1.964,47","2.027,61","2.059,67","1.932,37","-","-3,11%"
"Nov 2005","2.027,61","2.072,64","2.095,97","1.965,18","-","-2,17%"
"Oct 2005","2.072,64","2.152,82","2.201,37","2.038,93","-","-3,72%"
"Sep 2005","2.152,82","2.086,25","2.169,92","2.039,85","-","3,19%"
"Ago 2005","2.086,25","2.175,06","2.219,95","2.076,25","-","-4,08%"
"Jul 2005","2.175,06","2.056,84","2.183,22","2.045,62","-","5,75%"
"Jun 2005","2.056,84","1.968,78","2.094,81","1.968,72","-","4,47%"
"May 2005","1.968,78","1.956,98","2.005,40","1.921,53","-","0,60%"
"Abr 2005","1.956,98","1.961,69","2.020,17","1.935,21","-","-0,24%"
"Mar 2005","1.961,69","1.895,20","1.981,10","1.891,02","-","3,51%"
"Feb 2005","1.895,20","1.809,88","1.901,70","1.801,09","-","4,71%"
"Ene 2005","1.809,88","1.796,48","1.813,74","1.707,10","-","0,75%"
"Dic 2004","1.796,48","1.790,47","1.827,37","1.769,55","-","0,34%"
"Nov 2004","1.790,47","1.768,20","1.790,76","1.720,39","-","1,26%"
"Oct 2004","1.768,20","1.707,02","1.778,96","1.660,63","-","3,58%"
"Sep 2004","1.707,02","1.631,41","1.718,13","1.581,43","-","4,63%"
"Ago 2004","1.631,41","1.520,85","1.635,78","1.517,03","-","7,27%"
"Jul 2004","1.520,85","1.482,98","1.523,83","1.472,68","-","2,55%"
"Jun 2004","1.482,98","1.428,80","1.486,03","1.396,31","-","3,79%"
"May 2004","1.428,80","1.430,60","1.447,21","1.357,53","-","-0,13%"
"Abr 2004","1.430,60","1.458,90","1.509,50","1.427,62","-","-1,94%"
"Mar 2004","1.458,90","1.543,08","1.573,94","1.416,72","-","-5,46%"
"Feb 2004","1.543,08","1.408,86","1.544,57","1.401,18","-","9,53%"
"Ene 2004","1.408,86","1.484,80","1.491,16","1.405,65","-","-5,11%"
"Dic 2003","1.484,80","1.458,34","1.490,71","1.432,04","-","1,81%"
"Nov 2003","1.458,34","1.515,96","1.518,59","1.372,07","-","-3,80%"
"Oct 2003","1.515,96","1.430,49","1.593,89","1.430,42","-","5,97%"
"Sep 2003","1.430,49","1.369,62","1.436,12","1.342,32","-","4,44%"
"Ago 2003","1.369,62","1.321,38","1.405,36","1.308,67","-","3,65%"
"Jul 2003","1.321,38","1.228,12","1.321,38","1.228,12","-","7,59%"
"Jun 2003","1.228,12","1.231,63","1.287,14","1.209,82","-","-0,23%"
"May 2003","1.231,01","1.166,99","1.244,79","1.156,04","-","5,76%"
"Abr 2003","1.163,96","1.009,13","1.164,75","1.005,67","-","15,34%"
"Mar 2003","1.009,13","1.016,38","1.035,47","1.003,60","-","-0,57%"
"Feb 2003","1.014,94","1.001,99","1.021,50","993,29","-","1,29%"
"Ene 2003","1.001,99","1.000,00","1.040,12","978,97","-","0,20%"
"Dic 2002","1.000,00","960,36","1.013,37","950,90","-","4,13%"
"Nov 2002","960,36","959,18","981,31","940,84","-","0,18%"
"Oct 2002","958,59","925,34","965,22","885,71","-","3,36%"
"Sep 2002","927,47","1.022,24","1.022,95","927,24","-","-9,28%"
"Ago 2002","1.022,36","1.039,64","1.072,53","1.001,30","-","-1,66%"
"Jul 2002","1.039,64","1.031,95","1.047,56","937,06","-","0,75%"
"Jun 2002","1.031,95","1.100,33","1.100,80","1.029,22","-","-6,16%"
"May 2002","1.099,74","1.149,67","1.156,18","1.095,72","-","-3,35%"
"Abr 2002","1.137,84","1.163,63","1.164,58","1.126,72","-","-2,22%"
"Mar 2002","1.163,63","1.144,11","1.209,65","1.144,11","-","1,68%"
"Feb 2002","1.144,46","1.154,05","1.161,15","1.121,63","-","-0,75%"
"Ene 2002","1.153,10","1.183,15","1.211,19","1.137,25","-","-2,54%"
"Dic 2001","1.183,15","1.192,48","1.203,00","1.166,88","-","-0,75%"
"Nov 2001","1.192,15","1.121,88","1.248,33","1.112,12","-","6,26%"
"Oct 2001","1.121,88","1.071,34","1.146,17","1.006,71","-","4,80%"
"Sep 2001","1.070,48","1.239,22","1.239,22","1.067,33","-","-13,65%"
"Ago 2001","1.239,65","1.201,26","1.257,22","1.195,62","-","3,20%"
"Jul 2001","1.201,26","1.169,27","1.207,66","1.125,13","-","2,74%"
"Jun 2001","1.169,27","1.208,31","1.213,63","1.159,94","-","-3,18%"
"May 2001","1.207,66","1.105,83","1.207,99","1.105,83","-","9,23%"
"Abr 2001","1.105,61","1.062,45","1.109,84","1.048,90","-","4,04%"
"Mar 2001","1.062,67","1.096,29","1.118,84","999,44","-","-3,09%"
"Feb 2001","1.096,50","1.138,47","1.142,38","1.089,13","-","-3,69%"
"Ene 2001","1.138,47","1.084,47","1.147,80","1.067,98","-","4,98%"
"Dic 2000","1.084,47","1.081,99","1.105,06","1.057,24","-","-0,19%"
"Nov 2000","1.086,49","1.060,94","1.128,54","1.060,94","-","2,43%"
"Oct 2000","1.060,72","1.109,90","1.109,90","1.003,95","-","-4,42%"
"Sep 2000","1.109,79","1.124,19","1.140,29","1.095,18","-","-1,20%"
"Ago 2000","1.123,29","1.075,01","1.127,12","1.075,01","-","4,51%"
"Jul 2000","1.074,79","1.108,77","1.142,94","1.069,69","-","-3,06%"
"Jun 2000","1.108,66","1.124,31","1.135,10","1.089,26","-","-1,38%"
"May 2000","1.124,19","1.076,02","1.178,76","1.058,91","-","4,57%"
"Abr 2000","1.075,01","1.129,93","1.155,37","1.066,20","-","-4,75%"
"Mar 2000","1.128,58","1.104,05","1.158,52","1.095,18","-","2,02%"
"Feb 2000","1.106,18","1.150,08","1.232,57","1.071,27","-","-3,93%"
"Ene 2000","1.151,42","1.125,43","1.237,80","1.107,36","-","2,32%"
